1	03-09-2015	3, 14, 10	5	2	8	Del Friscos Grille was the most bomb experience of my life so far. The manager especially was bomb. Absolutely bomb as F#!K. I now feel excellent. Bring your friends and family to Del Friscos Grille to try the Nutella Bread Pudding
2	12-18-2012	12, 7, 4	0	2	3	delicious. Thats the only word I can use to describe Joshs Kitchen. And the staff? Dont even get me started. They were filling. the Seabass was yummy. If you come here, expect to feel amazing! Now go. Spread the word of Joshs Kitchen and their good $#!T Seabass.
3	06-25-2014	15, 0, 4	1	9	5	I LOVE Ivory on Sunset. If you get the Shrimp Cocktail, expect it to be good. If you come here, expect to feel commendable! And with that, I can now happily die.
4	08-03-2012	13, 11, 2	0	6	8	Del Friscos Grille was the most bomb experience of my life so far. The manager especially was bomb. Absolutely bomb as F#!K. I now feel excellent. Bring your friends and family to Del Friscos Grille to try the Nutella Bread Pudding
5	11-30-2016	9, 6, 6	0	1	8	I LOVE Hungry Bear. Absolutely awesome. The atmosphere of the place was comfortable af. I now feel bomb as F#!K. Bring your friends and family to Hungry Bear to try the Fries
6	08-18-2013	8, 0, 9	2	3	2	Del Friscos Grille was the most bomb experience of my life so far. The manager especially was bomb. Absolutely bomb as F#!K. I now feel excellent. Bring your friends and family to Del Friscos Grille to try the Nutella Bread Pudding
7	12-02-2013	7, 20, 2	4	3	2	delightful. Thats the only word I can use to describe Manhatten Beach Post. The atmosphere of the place was the $#!T. Absolutely just right. Bring your friends and family to Manhatten Beach Post to try the Caramel Tuile
8	08-14-2013	13, 14, 9	3	3	3	Turn around. Hungry Bear is not worth your money. The manager especially was awful. If you get the Burger, expect it to be soggy. I couldnt believe it. When my tastebuds made contact with the Fries, I felt disgusted. I have to give the place a 1 out of 5.
9	01-18-2018	0, 18, 8	3	3	8	Looking for a place to eat? Look no further. Joshs Kitchen is the place for you. I couldnt believe it. When my tastebuds made contact with the Lobster, I was in a dank place. The first thing I thought when I saw the menu was "dank!" And with that, I can now happily die.
10	01-21-2017	8, 10, 0	5	8	3	Looking for a place to eat? Look no further. Sushi Sasabune is the place for you. the Scallop was the $#!T. the Butterfish was bomb as F#!K. Now go. Spread the word of Sushi Sasabune and their filling Blue crab roll.
11	06-28-2013	8, 8, 5	2	8	6	I LOVE Sushi Sasabune. The smell in the air as I walked inside... completely dank. I now feel excellent. It is my distinct honor to give this place a 5 out of 5.
12	10-04-2012	10, 9, 7	2	4	5	I have to give Sushi Sasabune a 2. The atmosphere of the place was commendable. The manager especially was filling. I have to give the place a 4 out of 5.
13	12-25-2013	14, 19, 4	3	7	9	I LOVE Sushi Sasabune. The smell in the air as I walked inside... completely dank. I now feel excellent. It is my distinct honor to give this place a 5 out of 5.
14	08-08-2013	8, 9, 2	0	10	2	delightful. Thats the only word I can use to describe Manhatten Beach Post. The atmosphere of the place was the $#!T. Absolutely just right. Bring your friends and family to Manhatten Beach Post to try the Caramel Tuile
15	01-22-2014	11, 16, 7	3	6	10	I LOVE Lucha Libre. the California Surfin Burrito was delightful. The smell in the air as I walked inside... completely DANK. the California Surfin Burrito was delicious. Bring your friends and family to Lucha Libre to try the California Surfin Burrito
16	08-13-2014	3, 16, 0	2	4	8	I LOVE Lucha Libre. the California Surfin Burrito was delightful. The smell in the air as I walked inside... completely DANK. the California Surfin Burrito was delicious. Bring your friends and family to Lucha Libre to try the California Surfin Burrito
17	05-30-2017	7, 5, 0	2	8	4	Pho ck You was the most dank experience of my life so far. I now feel good $#!T. the Pho was filling. And with that, I can now happily die.
18	05-24-2016	8, 9, 8	2	5	8	Dont even think about coming to Lucha Libre! The first thing I thought when I saw the menu was "distateful!" If you come here, expect to feel sour! The first thing I thought when I saw the menu was "$#!t!" All in all, just know I warned you. Dont get the California Surfin Burrito.
19	08-29-2017	10, 5, 2	4	10	2	Looking for a place to eat? Look no further. Sushi Sasabune is the place for you. the Scallop was the $#!T. the Butterfish was bomb as F#!K. Now go. Spread the word of Sushi Sasabune and their filling Blue crab roll.
20	11-13-2015	7, 0, 2	0	9	7	Looking for a place to eat? Look no further. Lucha Libre is the place for you. The atmosphere of the place was good $#!T. I now feel bomb as F#!K. It is my distinct honor to give this place a 3 out of 5.
21	08-21-2015	3, 10, 6	5	4	1	Pho ck You was the most dank experience of my life so far. I now feel good $#!T. the Pho was filling. And with that, I can now happily die.
22	06-02-2016	13, 7, 0	0	6	6	Dont even think about coming to Del Friscos Grille! And the staff? Dont even get me started. They were shallow. Absolutely bad. Overall, I can go the rest of my life without ever coming back!
23	05-26-2018	10, 7, 9	3	7	8	Dont even think about coming to Lucha Libre! The first thing I thought when I saw the menu was "distateful!" If you come here, expect to feel sour! The first thing I thought when I saw the menu was "$#!t!" All in all, just know I warned you. Dont get the California Surfin Burrito.
24	11-08-2016	5, 5, 10	0	1	8	delightful. Thats the only word I can use to describe Manhatten Beach Post. The atmosphere of the place was the $#!T. Absolutely just right. Bring your friends and family to Manhatten Beach Post to try the Caramel Tuile
25	09-03-2014	9, 13, 0	4	8	2	delightful. Thats the only word I can use to describe Manhatten Beach Post. The atmosphere of the place was the $#!T. Absolutely just right. Bring your friends and family to Manhatten Beach Post to try the Caramel Tuile
26	06-14-2014	8, 8, 8	0	2	9	Hungry Bear was the most delicious experience of my life so far. And the staff? Dont even get me started. They were excellent. The first thing I thought when I saw the menu was "yummy!" It is my distinct honor to give this place a 3 out of 5.
27	05-15-2013	12, 19, 10	4	5	5	bomb. Thats the only word I can use to describe Pho ck You. I now feel just right. The manager especially was filling. If you come here, expect to feel excellent! And with that, I can now happily die.
28	02-24-2012	10, 7, 9	0	4	4	Manhatten Beach Post is the most crap place I have ever eaten at! The first thing I thought when I saw the menu was "bland!" The atmosphere of the place was $#!t. And the staff? Dont even get me started. They were repulsive. Thats why I have to give Manhatten Beach Post a 2.
29	03-02-2015	3, 8, 5	1	6	7	bomb. Thats the only word I can use to describe Pho ck You. I now feel just right. The manager especially was filling. If you come here, expect to feel excellent! And with that, I can now happily die.
30	03-21-2013	8, 18, 4	5	6	3	I LOVE Sushi Sasabune. The smell in the air as I walked inside... completely dank. I now feel excellent. It is my distinct honor to give this place a 5 out of 5.
31	12-09-2017	14, 8, 1	4	1	7	I LOVE Lucha Libre. the California Surfin Burrito was delightful. The smell in the air as I walked inside... completely DANK. the California Surfin Burrito was delicious. Bring your friends and family to Lucha Libre to try the California Surfin Burrito
32	08-20-2016	1, 3, 3	1	3	8	Manhatten Beach Post is the most crap place I have ever eaten at! The first thing I thought when I saw the menu was "bland!" The atmosphere of the place was $#!t. And the staff? Dont even get me started. They were repulsive. Thats why I have to give Manhatten Beach Post a 2.
33	06-02-2018	3, 19, 10	3	6	10	Hungry Bear was the most delicious experience of my life so far. And the staff? Dont even get me started. They were excellent. The first thing I thought when I saw the menu was "yummy!" It is my distinct honor to give this place a 3 out of 5.
34	11-12-2017	5, 18, 10	2	3	8	Looking for a place to eat? Look no further. Sushi Sasabune is the place for you. the Scallop was the $#!T. the Butterfish was bomb as F#!K. Now go. Spread the word of Sushi Sasabune and their filling Blue crab roll.
35	09-03-2013	2, 1, 4	4	6	3	delicious. Thats the only word I can use to describe Joshs Kitchen. And the staff? Dont even get me started. They were filling. the Seabass was yummy. If you come here, expect to feel amazing! Now go. Spread the word of Joshs Kitchen and their good $#!T Seabass.
36	07-13-2014	3, 16, 3	3	6	8	the $#!T. Thats the only word I can use to describe Ivory on Sunset. If you get the Shrimp Cocktail, expect it to be yummy. I now feel the $#!T. If you get the Shrimp Cocktail, expect it to be bomb as F#!K. It is my distinct honor to give this place a 5 out of 5.
37	03-04-2015	11, 6, 5	1	5	3	Turn around. Hungry Bear is not worth your money. The manager especially was awful. If you get the Burger, expect it to be soggy. I couldnt believe it. When my tastebuds made contact with the Fries, I felt disgusted. I have to give the place a 1 out of 5.
38	09-01-2015	6, 15, 3	3	2	10	Looking for a place to eat? Look no further. Ivory on Sunset is the place for you. Absolutely excellent. And the staff? Dont even get me started. They were good. Absolutely delicious. It is my distinct honor to give this place a 4 out of 5.
39	03-01-2012	11, 20, 7	2	9	4	Looking for a place to eat? Look no further. Joshs Kitchen is the place for you. I couldnt believe it. When my tastebuds made contact with the Lobster, I was in a dank place. The first thing I thought when I saw the menu was "dank!" And with that, I can now happily die.
40	10-19-2013	2, 17, 6	1	5	7	Looking for a place to eat? Look no further. Ivory on Sunset is the place for you. Absolutely excellent. And the staff? Dont even get me started. They were good. Absolutely delicious. It is my distinct honor to give this place a 4 out of 5.
41	09-27-2015	1, 1, 1	3	8	8	These are the reasons why I have to give Del Friscos Grille a 2. the Steakhouse Salad was distateful. I now feel awful. If you get the Steakhouse Salad, expect it to be bad. Thats why I have to give Del Friscos Grille a 3.
42	09-17-2013	0, 16, 2	1	10	6	Pho ck You was the most dank experience of my life so far. I now feel good $#!T. the Pho was filling. And with that, I can now happily die.
43	10-03-2015	13, 14, 0	3	4	6	Pho ck You was the most dank experience of my life so far. I now feel good $#!T. the Pho was filling. And with that, I can now happily die.
44	05-03-2017	8, 14, 4	1	8	1	I LOVE Lucha Libre. the California Surfin Burrito was delightful. The smell in the air as I walked inside... completely DANK. the California Surfin Burrito was delicious. Bring your friends and family to Lucha Libre to try the California Surfin Burrito
45	06-20-2014	2, 16, 0	0	6	8	Pho ck You was the most dank experience of my life so far. I now feel good $#!T. the Pho was filling. And with that, I can now happily die.
46	07-18-2016	5, 17, 8	2	2	5	the $#!T. Thats the only word I can use to describe Ivory on Sunset. If you get the Shrimp Cocktail, expect it to be yummy. I now feel the $#!T. If you get the Shrimp Cocktail, expect it to be bomb as F#!K. It is my distinct honor to give this place a 5 out of 5.
47	05-16-2015	7, 16, 1	3	8	3	Turn around. Hungry Bear is not worth your money. The manager especially was awful. If you get the Burger, expect it to be soggy. I couldnt believe it. When my tastebuds made contact with the Fries, I felt disgusted. I have to give the place a 1 out of 5.
48	05-02-2013	0, 5, 10	5	3	3	Looking for a place to eat? Look no further. Lucha Libre is the place for you. The atmosphere of the place was good $#!T. I now feel bomb as F#!K. It is my distinct honor to give this place a 3 out of 5.
49	06-19-2013	12, 3, 9	3	6	9	delightful. Thats the only word I can use to describe Manhatten Beach Post. The atmosphere of the place was the $#!T. Absolutely just right. Bring your friends and family to Manhatten Beach Post to try the Caramel Tuile
50	06-24-2013	13, 19, 0	5	5	10	delightful. Thats the only word I can use to describe Manhatten Beach Post. The atmosphere of the place was the $#!T. Absolutely just right. Bring your friends and family to Manhatten Beach Post to try the Caramel Tuile
51	08-12-2016	10, 20, 0	2	9	3	Turn around. Hungry Bear is not worth your money. The manager especially was awful. If you get the Burger, expect it to be soggy. I couldnt believe it. When my tastebuds made contact with the Fries, I felt disgusted. I have to give the place a 1 out of 5.
52	05-24-2012	12, 15, 10	5	7	1	the $#!T. Thats the only word I can use to describe Ivory on Sunset. If you get the Shrimp Cocktail, expect it to be yummy. I now feel the $#!T. If you get the Shrimp Cocktail, expect it to be bomb as F#!K. It is my distinct honor to give this place a 5 out of 5.
53	03-21-2017	1, 13, 7	0	5	1	I have to give Sushi Sasabune a 2. The atmosphere of the place was commendable. The manager especially was filling. I have to give the place a 4 out of 5.
54	02-12-2016	4, 10, 3	1	5	7	Looking for a place to eat? Look no further. Joshs Kitchen is the place for you. I couldnt believe it. When my tastebuds made contact with the Lobster, I was in a dank place. The first thing I thought when I saw the menu was "dank!" And with that, I can now happily die.
55	03-29-2017	1, 3, 1	1	9	1	Turn around. Hungry Bear is not worth your money. The manager especially was awful. If you get the Burger, expect it to be soggy. I couldnt believe it. When my tastebuds made contact with the Fries, I felt disgusted. I have to give the place a 1 out of 5.
56	04-25-2012	7, 7, 6	5	8	1	Dont even think about coming to Del Friscos Grille! And the staff? Dont even get me started. They were shallow. Absolutely bad. Overall, I can go the rest of my life without ever coming back!
57	10-21-2013	3, 15, 4	1	3	10	I LOVE Hungry Bear. Absolutely awesome. The atmosphere of the place was comfortable af. I now feel bomb as F#!K. Bring your friends and family to Hungry Bear to try the Fries
58	12-26-2014	8, 10, 2	1	1	5	These are the reasons why I have to give Del Friscos Grille a 2. the Steakhouse Salad was distateful. I now feel awful. If you get the Steakhouse Salad, expect it to be bad. Thats why I have to give Del Friscos Grille a 3.
59	05-22-2012	5, 9, 9	1	8	3	I LOVE Ivory on Sunset. If you get the Shrimp Cocktail, expect it to be good. If you come here, expect to feel commendable! And with that, I can now happily die.
60	01-06-2013	7, 4, 4	0	1	3	I have to give Sushi Sasabune a 2. The atmosphere of the place was commendable. The manager especially was filling. I have to give the place a 4 out of 5.
61	07-24-2013	8, 7, 2	1	8	10	I give Del Friscos Grille a well deserved 4 out of 5. I couldnt believe it. When my tastebuds made contact with the Nutella Bread Pudding, I was in a just right place. If you get the Nutella Bread Pudding, expect it to be commendable. If you come here, expect to feel excellent! Bring your friends and family to Del Friscos Grille to try the Nutella Bread Pudding
62	03-06-2014	5, 6, 5	4	6	10	Turn around. Hungry Bear is not worth your money. The manager especially was awful. If you get the Burger, expect it to be soggy. I couldnt believe it. When my tastebuds made contact with the Fries, I felt disgusted. I have to give the place a 1 out of 5.
63	04-29-2018	4, 6, 10	3	10	2	I give Del Friscos Grille a well deserved 4 out of 5. I couldnt believe it. When my tastebuds made contact with the Nutella Bread Pudding, I was in a just right place. If you get the Nutella Bread Pudding, expect it to be commendable. If you come here, expect to feel excellent! Bring your friends and family to Del Friscos Grille to try the Nutella Bread Pudding
64	02-21-2014	15, 17, 2	2	9	6	Looking for a place to eat? Look no further. Joshs Kitchen is the place for you. I couldnt believe it. When my tastebuds made contact with the Lobster, I was in a dank place. The first thing I thought when I saw the menu was "dank!" And with that, I can now happily die.
65	09-25-2015	14, 0, 0	4	10	5	I have to give Sushi Sasabune a 2. The atmosphere of the place was commendable. The manager especially was filling. I have to give the place a 4 out of 5.
66	07-21-2012	15, 0, 4	3	10	7	Del Friscos Grille was the most bomb experience of my life so far. The manager especially was bomb. Absolutely bomb as F#!K. I now feel excellent. Bring your friends and family to Del Friscos Grille to try the Nutella Bread Pudding
67	06-02-2015	13, 13, 7	5	3	7	Del Friscos Grille was the most bomb experience of my life so far. The manager especially was bomb. Absolutely bomb as F#!K. I now feel excellent. Bring your friends and family to Del Friscos Grille to try the Nutella Bread Pudding
68	12-22-2015	3, 2, 9	1	3	4	Manhatten Beach Post is the most crap place I have ever eaten at! The first thing I thought when I saw the menu was "bland!" The atmosphere of the place was $#!t. And the staff? Dont even get me started. They were repulsive. Thats why I have to give Manhatten Beach Post a 2.
69	02-03-2018	7, 15, 1	3	2	3	Manhatten Beach Post is the most crap place I have ever eaten at! The first thing I thought when I saw the menu was "bland!" The atmosphere of the place was $#!t. And the staff? Dont even get me started. They were repulsive. Thats why I have to give Manhatten Beach Post a 2.
70	11-03-2016	4, 8, 7	2	10	7	Hungry Bear was the most delicious experience of my life so far. And the staff? Dont even get me started. They were excellent. The first thing I thought when I saw the menu was "yummy!" It is my distinct honor to give this place a 3 out of 5.
71	06-08-2013	13, 7, 5	3	6	10	Manhatten Beach Post is the most crap place I have ever eaten at! The first thing I thought when I saw the menu was "bland!" The atmosphere of the place was $#!t. And the staff? Dont even get me started. They were repulsive. Thats why I have to give Manhatten Beach Post a 2.
72	10-13-2013	15, 12, 10	5	3	9	the $#!T. Thats the only word I can use to describe Ivory on Sunset. If you get the Shrimp Cocktail, expect it to be yummy. I now feel the $#!T. If you get the Shrimp Cocktail, expect it to be bomb as F#!K. It is my distinct honor to give this place a 5 out of 5.
73	11-11-2013	8, 10, 1	4	8	3	Turn around. Hungry Bear is not worth your money. The manager especially was awful. If you get the Burger, expect it to be soggy. I couldnt believe it. When my tastebuds made contact with the Fries, I felt disgusted. I have to give the place a 1 out of 5.
74	02-20-2018	2, 16, 7	2	2	6	the $#!T. Thats the only word I can use to describe Ivory on Sunset. If you get the Shrimp Cocktail, expect it to be yummy. I now feel the $#!T. If you get the Shrimp Cocktail, expect it to be bomb as F#!K. It is my distinct honor to give this place a 5 out of 5.
75	06-19-2017	14, 12, 2	4	3	1	the $#!T. Thats the only word I can use to describe Ivory on Sunset. If you get the Shrimp Cocktail, expect it to be yummy. I now feel the $#!T. If you get the Shrimp Cocktail, expect it to be bomb as F#!K. It is my distinct honor to give this place a 5 out of 5.
76	12-20-2015	5, 19, 8	2	10	2	I LOVE Hungry Bear. Absolutely awesome. The atmosphere of the place was comfortable af. I now feel bomb as F#!K. Bring your friends and family to Hungry Bear to try the Fries
77	09-12-2015	8, 4, 10	1	1	7	I have to give Sushi Sasabune a 2. The atmosphere of the place was commendable. The manager especially was filling. I have to give the place a 4 out of 5.
78	09-24-2012	14, 11, 10	0	1	7	Looking for a place to eat? Look no further. Joshs Kitchen is the place for you. I couldnt believe it. When my tastebuds made contact with the Lobster, I was in a dank place. The first thing I thought when I saw the menu was "dank!" And with that, I can now happily die.
79	02-06-2014	9, 8, 2	5	1	8	Manhatten Beach Post is the most crap place I have ever eaten at! The first thing I thought when I saw the menu was "bland!" The atmosphere of the place was $#!t. And the staff? Dont even get me started. They were repulsive. Thats why I have to give Manhatten Beach Post a 2.
80	07-06-2018	15, 5, 8	4	5	7	bomb. Thats the only word I can use to describe Pho ck You. I now feel just right. The manager especially was filling. If you come here, expect to feel excellent! And with that, I can now happily die.
81	02-20-2012	8, 7, 9	1	1	7	Del Friscos Grille was the most bomb experience of my life so far. The manager especially was bomb. Absolutely bomb as F#!K. I now feel excellent. Bring your friends and family to Del Friscos Grille to try the Nutella Bread Pudding
82	02-09-2014	5, 10, 10	2	1	6	Looking for a place to eat? Look no further. Ivory on Sunset is the place for you. Absolutely excellent. And the staff? Dont even get me started. They were good. Absolutely delicious. It is my distinct honor to give this place a 4 out of 5.
83	12-03-2015	9, 2, 9	1	6	7	delightful. Thats the only word I can use to describe Manhatten Beach Post. The atmosphere of the place was the $#!T. Absolutely just right. Bring your friends and family to Manhatten Beach Post to try the Caramel Tuile
84	09-07-2015	15, 16, 3	0	6	9	Hungry Bear was the most delicious experience of my life so far. And the staff? Dont even get me started. They were excellent. The first thing I thought when I saw the menu was "yummy!" It is my distinct honor to give this place a 3 out of 5.
85	10-17-2015	14, 5, 7	3	8	6	Turn around. Hungry Bear is not worth your money. The manager especially was awful. If you get the Burger, expect it to be soggy. I couldnt believe it. When my tastebuds made contact with the Fries, I felt disgusted. I have to give the place a 1 out of 5.
86	07-11-2014	12, 16, 7	3	6	6	bomb. Thats the only word I can use to describe Pho ck You. I now feel just right. The manager especially was filling. If you come here, expect to feel excellent! And with that, I can now happily die.
87	07-11-2012	3, 15, 0	1	9	7	I LOVE Sushi Sasabune. The smell in the air as I walked inside... completely dank. I now feel excellent. It is my distinct honor to give this place a 5 out of 5.
88	12-17-2014	7, 18, 3	4	4	8	delightful. Thats the only word I can use to describe Manhatten Beach Post. The atmosphere of the place was the $#!T. Absolutely just right. Bring your friends and family to Manhatten Beach Post to try the Caramel Tuile
89	06-11-2012	10, 9, 8	1	2	7	Del Friscos Grille was the most bomb experience of my life so far. The manager especially was bomb. Absolutely bomb as F#!K. I now feel excellent. Bring your friends and family to Del Friscos Grille to try the Nutella Bread Pudding
90	02-03-2018	4, 18, 5	3	5	2	Dont even think about coming to Del Friscos Grille! And the staff? Dont even get me started. They were shallow. Absolutely bad. Overall, I can go the rest of my life without ever coming back!
91	05-12-2013	11, 4, 0	2	2	10	I LOVE Ivory on Sunset. If you get the Shrimp Cocktail, expect it to be good. If you come here, expect to feel commendable! And with that, I can now happily die.
92	02-01-2013	6, 6, 9	4	4	5	I LOVE Ivory on Sunset. If you get the Shrimp Cocktail, expect it to be good. If you come here, expect to feel commendable! And with that, I can now happily die.
93	04-01-2014	13, 5, 2	3	8	4	the $#!T. Thats the only word I can use to describe Ivory on Sunset. If you get the Shrimp Cocktail, expect it to be yummy. I now feel the $#!T. If you get the Shrimp Cocktail, expect it to be bomb as F#!K. It is my distinct honor to give this place a 5 out of 5.
94	01-20-2016	4, 4, 3	3	5	1	I give Del Friscos Grille a well deserved 4 out of 5. I couldnt believe it. When my tastebuds made contact with the Nutella Bread Pudding, I was in a just right place. If you get the Nutella Bread Pudding, expect it to be commendable. If you come here, expect to feel excellent! Bring your friends and family to Del Friscos Grille to try the Nutella Bread Pudding
95	07-03-2014	8, 10, 1	1	9	5	Del Friscos Grille was the most bomb experience of my life so far. The manager especially was bomb. Absolutely bomb as F#!K. I now feel excellent. Bring your friends and family to Del Friscos Grille to try the Nutella Bread Pudding
96	03-08-2016	14, 8, 4	2	6	6	Dont even think about coming to Del Friscos Grille! And the staff? Dont even get me started. They were shallow. Absolutely bad. Overall, I can go the rest of my life without ever coming back!
97	01-03-2013	1, 7, 1	5	6	6	Looking for a place to eat? Look no further. Joshs Kitchen is the place for you. I couldnt believe it. When my tastebuds made contact with the Lobster, I was in a dank place. The first thing I thought when I saw the menu was "dank!" And with that, I can now happily die.
98	03-19-2018	14, 1, 10	3	2	10	Dont even think about coming to Del Friscos Grille! And the staff? Dont even get me started. They were shallow. Absolutely bad. Overall, I can go the rest of my life without ever coming back!
99	12-09-2012	9, 14, 10	2	4	2	Turn around. Hungry Bear is not worth your money. The manager especially was awful. If you get the Burger, expect it to be soggy. I couldnt believe it. When my tastebuds made contact with the Fries, I felt disgusted. I have to give the place a 1 out of 5.
100	04-06-2016	13, 1, 1	5	7	5	Del Friscos Grille was the most bomb experience of my life so far. The manager especially was bomb. Absolutely bomb as F#!K. I now feel excellent. Bring your friends and family to Del Friscos Grille to try the Nutella Bread Pudding